city,year,weekofyear,total_cases
iq,2010,45,9
iq,2010,46,8
iq,2010,47,10
iq,2010,48,10
iq,2010,49,10
iq,2010,50,10
iq,2010,51,7
iq,2011,52,8
iq,2011,1,8
iq,2011,2,9
iq,2011,3,8
iq,2011,4,6
iq,2011,5,8
iq,2011,6,9
iq,2011,7,10
iq,2011,8,9
iq,2011,9,10
iq,2011,10,9
iq,2011,11,10
iq,2011,12,9
iq,2011,13,9
iq,2011,14,11
iq,2011,15,9
iq,2011,16,8
iq,2011,17,10
iq,2011,18,10
iq,2011,19,5
iq,2011,20,7
iq,2011,21,8
iq,2011,22,7
iq,2011,23,6
iq,2011,24,7
iq,2011,25,3
iq,2011,26,6
iq,2011,27,6
iq,2011,28,4
iq,2011,29,6
iq,2011,30,6
iq,2011,31,6
iq,2011,32,6
iq,2011,33,3
iq,2011,34,5
iq,2011,35,4
iq,2011,36,4
iq,2011,37,6
iq,2011,38,7
iq,2011,39,9
iq,2011,40,8
iq,2011,41,9
iq,2011,42,10
iq,2011,43,9
iq,2011,44,9
iq,2011,45,9
iq,2011,46,10
iq,2011,47,9
iq,2011,48,10
iq,2011,49,10
iq,2011,50,10
iq,2011,51,9
iq,2012,52,10
iq,2012,1,9
iq,2012,2,9
iq,2012,3,8
iq,2012,4,8
iq,2012,5,9
iq,2012,6,9
iq,2012,7,8
iq,2012,8,7
iq,2012,9,8
iq,2012,10,8
iq,2012,11,7
iq,2012,12,7
iq,2012,13,9
iq,2012,14,8
iq,2012,15,9
iq,2012,16,10
iq,2012,17,9
iq,2012,18,8
iq,2012,19,7
iq,2012,20,10
iq,2012,21,6
iq,2012,22,6
iq,2012,23,7
iq,2012,24,5
iq,2012,25,7
iq,2012,26,6
iq,2012,27,5
iq,2012,28,5
iq,2012,29,6
iq,2012,30,3
iq,2012,31,4
iq,2012,32,4
iq,2012,33,3
iq,2012,34,7
iq,2012,35,5
iq,2012,36,5
iq,2012,37,6
iq,2012,38,5
iq,2012,39,7
iq,2012,40,5
iq,2012,41,8
iq,2012,42,8
iq,2012,43,9
iq,2012,44,9
iq,2012,45,9
iq,2012,46,10
iq,2012,47,12
iq,2012,48,12
iq,2012,49,10
iq,2012,50,10
iq,2012,51,11
iq,2013,1,10
iq,2013,2,6
iq,2013,3,7
iq,2013,4,9
iq,2013,5,9
iq,2013,6,10
iq,2013,7,9
iq,2013,8,10
iq,2013,9,9
iq,2013,10,9
iq,2013,11,10
iq,2013,12,11
iq,2013,13,10
iq,2013,14,9
iq,2013,15,8
iq,2013,16,10
iq,2013,17,10
iq,2013,18,4
iq,2013,19,10
iq,2013,20,9
iq,2013,21,8
iq,2013,22,8
iq,2013,23,8
iq,2013,24,6
iq,2013,25,5
iq,2013,26,6
